L0,L8,L15,L18,L20
2867500.0,5429000.0,1.173487E8,1.2516452E9,7.8508013E9
3328400.0,1.24843E7,1.108591E8,8.875342E8,7.4118605E9
2917300.0,2.97925E7,1.104683E8,1.0808426E9,7.762728E9
3815500.0,3592100.0,1.239886E8,1.1954584E9,7.551098E9
5775100.0,6.58569E7,1.425953E8,8.952811E8,7.466641E9
7289800.0,9722700.0,1.136845E8,9.042254E8,7.8940307E9
3111300.0,5451600.0,1.093209E8,1.0347228E9,7.3750054E9
3031800.0,4.60433E7,1.189118E8,9.063849E8,7.8753193E9
3025400.0,1.24161E7,1.101098E8,1.0917738E9,7.7393321E9
2987500.0,8262100.0,1.108978E8,1.0557592E9,7.5323032E9
4332800.0,1.29032E7,1.115733E8,1.079584E9,7.8687878E9
2908200.0,3090400.0,1.888826E8,8.989454E8,7.5582794E9
8968600.0,9815300.0,1.161682E8,8.870016E8,7.4370681E9
9618000.0,2.2993E7,1.095542E8,8.912015E8,7.8599053E9
2859900.0,1.29727E7,1.146496E8,1.1387129E9,7.4736941E9
4604700.0,3811100.0,1.150516E8,8.88747E8,7.5899063E9
9585400.0,3355500.0,1.128857E8,1.0664181E9,7.7313796E9
3412200.0,3405900.0,1.127898E8,1.2208515E9,7.6750064E9
4603500.0,3.37478E7,1.730493E8,9.047765E8,7.4293332E9
5976900.0,8785900.0,1.151164E8,9.110522E8,7.610743E9
2839800.0,7943400.0,1.132378E8,1.0248878E9,7.5958166E9
3259500.0,3132600.0,1.133642E8,1.1116214E9,7.5350153E9
8784600.0,1.08474E7,1.11455E8,8.867036E8,7.6596834E9
4614500.0,7889900.0,1.101612E8,8.884411E8,7.866257E9
4272900.0,4135000.0,1.116227E8,8.953399E8,7.4886701E9
6591800.0,5197000.0,1.104304E8,1.2057821E9,7.7408559E9
2330300.0,3873700.0,1.164951E8,8.870361E8,7.8727498E9
2573300.0,7853900.0,1.287024E8,8.898662E8,7.3799297E9
6517900.0,9022000.0,1.112131E8,1.2286423E9,7.4941059E9
3595300.0,7403200.0,1.097205E8,9.268236E8,7.6936239E9
2969600.0,5812000.0,1.934243E8,1.0652548E9,7.6553808E9
6920900.0,9123900.0,1.433079E8,1.1970443E9,7.7770786E9
2879700.0,3779300.0,1.113183E8,1.1086411E9,7.4825231E9
2121000.0,3261200.0,1.111734E8,1.1392727E9,7.8600608E9
4030400.0,5094300.0,1.686993E8,1.0644871E9,7.5574841E9
5484900.0,8424700.0,1.108578E8,9.38431E8,7.4666965E9
2704900.0,3497400.0,1.123999E8,1.0742502E9,7.6563282E9
2506800.0,8762800.0,1.087049E8,8.832757E8,7.7008837E9
3675800.0,1.01782E7,2.008264E8,8.853541E8,7.9214755E9
5053800.0,3893300.0,1.522793E8,1.063868E9,7.5363553E9
2808300.0,3703500.0,1.086282E8,1.0280752E9,7.9080144E9
4252200.0,8880000.0,1.134257E8,8.874666E8,7.7317736E9
4530100.0,6373500.0,1.080955E8,8.870185E8,7.3013045E9
4356000.0,1.25687E7,1.117453E8,8.899576E8,7.6652529E9
5217700.0,3562100.0,1.11387E8,8.865787E8,7.8218253E9
6355400.0,6656100.0,1.120571E8,8.933307E8,7.5583963E9
3158300.0,3128700.0,1.098404E8,9.05271E8,7.7748705E9
4315000.0,9183000.0,1.112088E8,1.1805906E9,7.5625787E9
4743400.0,9784700.0,1.130156E8,1.0295338E9,7.3736003E9
2289100.0,3456900.0,1.11441E8,9.148681E8,7.6692272E9
1.98001E7,8796400.0,1.095574E8,9.192605E8,7.5379716E9
